"Monthly counts of all registered deaths for 'unvaccinated' and 'ever vaccinated' by age group; for all deaths and deaths involving COVID-19, deaths occurring between 1 January 2021 and 31 May 2022, England"					
This worksheet contains 1 table.					
"Source: Source: Office for National Statistics, National Immunisation Management Service."					
Cause of Death	Year	Month	Age group	Vaccination status	Count of Deaths
Deaths involving COVID-19	2021	May	10-39	Ever vaccinated	<3
Deaths involving COVID-19	2021	May	40-49	Unvaccinated	10
Deaths involving COVID-19	2021	May	40-49	Ever vaccinated	<3
Deaths involving COVID-19	2021	May	50-59	Unvaccinated	17
Deaths involving COVID-19	2021	May	50-59	Ever vaccinated	18
Deaths involving COVID-19	2021	May	60-69	Unvaccinated	29
Deaths involving COVID-19	2021	May	60-69	Ever vaccinated	41
Deaths involving COVID-19	2021	May	70-79	Unvaccinated	19
Deaths involving COVID-19	2021	May	70-79	Ever vaccinated	40
Deaths involving COVID-19	2021	May	80-89	Unvaccinated	18
Deaths involving COVID-19	2021	May	80-89	Ever vaccinated	90
Deaths involving COVID-19	2021	May	90+	Unvaccinated	8
Deaths involving COVID-19	2021	May	90+	Ever vaccinated	46
Deaths involving COVID-19	2021	June	10-39	Unvaccinated	15
Deaths involving COVID-19	2021	June	10-39	Ever vaccinated	5
Deaths involving COVID-19	2021	June	40-49	Unvaccinated	19
Deaths involving COVID-19	2021	June	40-49	Ever vaccinated	7
Deaths involving COVID-19	2021	June	50-59	Unvaccinated	26
Deaths involving COVID-19	2021	June	50-59	Ever vaccinated	13
Deaths involving COVID-19	2021	June	60-69	Unvaccinated	32
Deaths involving COVID-19	2021	June	60-69	Ever vaccinated	27
Deaths involving COVID-19	2021	June	70-79	Unvaccinated	21
Deaths involving COVID-19	2021	June	70-79	Ever vaccinated	62
Deaths involving COVID-19	2021	June	80-89	Unvaccinated	16
Deaths involving COVID-19	2021	June	80-89	Ever vaccinated	91
Deaths involving COVID-19	2021	June	90+	Unvaccinated	8
Deaths involving COVID-19	2021	June	90+	Ever vaccinated	47
Deaths involving COVID-19	2021	July	10-39	Unvaccinated	41
Deaths involving COVID-19	2021	July	10-39	Ever vaccinated	12
Deaths involving COVID-19	2021	July	40-49	Unvaccinated	58
Deaths involving COVID-19	2021	July	40-49	Ever vaccinated	35
